nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:59,871] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001338
[2026-05-12 17:53:00,228] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CJB미디어센터 (FC001338)
[2026-05-12 17:53:00,228] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000082
[2026-05-12 17:53:00,582] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CJ아지트 광흥창 (FC000082)
[2026-05-12 17:53:00,582] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000629
[2026-05-12 17:53:00,948] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CK아트홀 (FC000629)
[2026-05-12 17:53:00,948] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004840
[2026-05-12 17:53:01,298] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CLUB PLUS82(+82) (FC004840)
[2026-05-12 17:53:01,298] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003903
[2026-05-12 17:53:01,642] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CLUB VICTIM (FC003903)
[2026-05-12 17:53:01,642] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002090
[2026-05-12 17:53:01,979] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CLUB bender(클럽 벤더) (FC002090)
[2026-05-12 17:53:01,979] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002104
[2026-05-12 17:53:02,318] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CS아트홀 (FC002104)
[2026-05-12 17:53:02,318] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC001472
[2026-05-12 17:53:02,665] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CTS아트홀 (FC001472)
[2026-05-12 17:53:02,665] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002066
[2026-05-12 17:53:03,006] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Cafe PPnF (FC002066)
[2026-05-12 17:53:03,006] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002347
[2026-05-12 17:53:03,355] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Cafe vave(베이브) (FC002347)
[2026-05-12 17:53:03,355] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003340
[2026-05-12 17:53:03,711] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Campus D 고촌홀 (FC003340)
[2026-05-12 17:53:03,711] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004676
[2026-05-12 17:53:04,048] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Converse Stage Arena 여명 (FC004676)
[2026-05-12 17:53:04,048] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003781
[2026-05-12 17:53:04,391] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Corners Studio (FC003781)
[2026-05-12 17:53:04,391] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002014
[2026-05-12 17:53:04,739] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: D:BASE (디:베이스) (FC002014)
[2026-05-12 17:53:04,739] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003563
[2026-05-12 17:53:05,075] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DCAN센터 (FC003563)
[2026-05-12 17:53:05,075] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002917
[2026-05-12 17:53:05,416] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DCAN센터 [대전] (FC002917)
[2026-05-12 17:53:05,416] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002666
[2026-05-12 17:53:05,773] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: DDP 동대문디자인플라자 (FC002666)
[2026-05-12 17:53:05,773] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004261
